2023/11/06 15:06:57 [crit] 172157#172157: *564 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 167.71.134.123, server: 0.0.0.0:443
2023/11/06 15:06:57 [warn] 172157#172157: *590 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 212.102.40.218, server: 0.0.0.0:443
2023/11/06 15:06:57 [crit] 172157#172157: *811 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 87.236.176.14, server: 0.0.0.0:443
2023/11/06 15:06:57 [error] 172157#172157: *890 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 154.209.125.133, server: 0.0.0.0:443
2023/11/06 15:06:57 [error] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [error] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [error] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [error] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [error] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [warn] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [warn] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [warn] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [warn] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [warn] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [warn] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [warn] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [emerg] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [emerg] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [emerg] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [emerg] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [emerg] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [emerg] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [crit] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [crit] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
2023/11/06 15:06:57 [crit] 172157#172157: *902 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.225.56, server: 0.0.0.0:443
